Lien_notice_imprimeur (ne pas modifier),champ (ne pas modifier),Lien_defecteux (ne pas modifier)
http://elec.enc.sorbonne.fr/imprimeurs/node/24491,bibliographie et sources,http://ark.bnf.fr/ark:/12148/cb30416153k
http://elec.enc.sorbonne.fr/imprimeurs/node/23107,bibliographie et sources,http://ark.bnf.fr/ark:/12148/cb415280046
http://elec.enc.sorbonne.fr/imprimeurs/node/27071,informations professionnelles,http://ark.bnf.fr/ark:/12148/cb393188114
http://elec.enc.sorbonne.fr/imprimeurs/node/22285,bibliographie et sources,http://ark.bnf.fr/ark:/12148/cb36054600v
http://elec.enc.sorbonne.fr/imprimeurs/node/22647,informations professionnelles,http://ark.bnf.fr/ark:/12148/cb33341803m
http://elec.enc.sorbonne.fr/imprimeurs/node/22548,informations professionnelles,https://www.reseau-canope.fr/musee/collections/fr/museum/mne/pourquoi-donc-grand-papa-n-allons-nous-plus-en-voiture/fb4122ae-0cd1-4fe4-98a9-ed0db525507c
http://elec.enc.sorbonne.fr/imprimeurs/node/21866,informations professionnelles,http://ark.bnf.fr/ark:/12148/cb32693633w
http://elec.enc.sorbonne.fr/imprimeurs/node/21570,informations professionnelles,http://catalogue.bnf.fr/ark:/12148/cb34
http://elec.enc.sorbonne.fr/imprimeurs/node/21570,informations professionnelles,http://https://catalogue.bnf.fr/ark:/12148/cb33406913r
http://elec.enc.sorbonne.fr/imprimeurs/node/21570,informations professionnelles,https://catalogue.bnf.fr/ark:/12148/cb36
http://elec.enc.sorbonne.fr/imprimeurs/node/21602,informations professionnelles,http://Journal d
http://elec.enc.sorbonne.fr/imprimeurs/node/21933,informations professionnelles,http://A ma patrie
http://elec.enc.sorbonne.fr/imprimeurs/node/22081,informations professionnelles,http://bibli.injs-paris.fr/index.php?lvl=more_results&amp;autolevel1=1
http://elec.enc.sorbonne.fr/imprimeurs/node/26031,bibliographie et sources,http://www.charlesfourier.fr/spip.php?article1091
http://elec.enc.sorbonne.fr/imprimeurs/node/26756,bibliographie et sources,http://www.imprimerie.lyon.fr/imprimerie/sections/fr/documentation/somme.typographique
http://elec.enc.sorbonne.fr/imprimeurs/node/26783,bibliographie et sources,http://www.imprimerie.lyon.fr/imprimerie/sections/fr/documentation/somme_typographique
http://elec.enc.sorbonne.fr/imprimeurs/node/26784,bibliographie et sources,http://www.imprimerie.lyon.fr/imprimerie/sections/fr/documentation/somme_typographique
http://elec.enc.sorbonne.fr/imprimeurs/node/26785,bibliographie et sources,http://www.imprimerie.lyon.fr/imprimerie/sections/fr/documentation/somme_typographique
http://elec.enc.sorbonne.fr/imprimeurs/node/26873,informations professionnelles,http://bm-dijon.fr/Default/doc/SYRACUSE/4562655/recueil-de-tombeaux-dessines-d-apres-nature-au-cimetiere-de-dijon
http://elec.enc.sorbonne.fr/imprimeurs/node/26967,bibliographie et sources,http://ark.bnf.fr/ark:/12148/cb367940305
http://elec.enc.sorbonne.fr/imprimeurs/node/24999,informations personnelles,http://ark.bnf.fr/ark:/12148/cb30251909k
http://elec.enc.sorbonne.fr/imprimeurs/node/24495,bibliographie et sources,http://ark.bnf.fr/ark:/12148/cb30416153k
http://elec.enc.sorbonne.fr/imprimeurs/node/24472,bibliographie et sources,http://provence-historique.mmsh.univ-aix.fr/n/1960/Pages/PH-1960-10-041_03.aspx
http://elec.enc.sorbonne.fr/imprimeurs/node/23035,bibliographie et sources,http://ark.bnf.fr/ark:/12148/cb41528196z
http://elec.enc.sorbonne.fr/imprimeurs/node/23236,informations personnelles,http://ark.bnf.fr/ark:/12148/cb30474643d
http://elec.enc.sorbonne.fr/imprimeurs/node/22860,informations personnelles,http://ark.bnf.fr/ark:/12148/cb311293065
http://elec.enc.sorbonne.fr/imprimeurs/node/22866,informations professionnelles,https://catalogue.bnf.fr/ark:/12148/cb30
http://elec.enc.sorbonne.fr/imprimeurs/node/22977,bibliographie et sources,http://www.cairn.info/revue-d-histoire-moderne-et-contemporaine-2005-1-page-147.htm
http://elec.enc.sorbonne.fr/imprimeurs/node/24468,bibliographie et sources,http://provence-historique.mmsh.univ-aix.fr/n/1960/Pages/PH-1960-10-041_03.aspx
http://elec.enc.sorbonne.fr/imprimeurs/node/24194,informations professionnelles,http://ark.bnf.fr/ark:/12148/cb34589163s
http://elec.enc.sorbonne.fr/imprimeurs/node/24467,bibliographie et sources,http://provence-historique.mmsh.univ-aix.fr/n/1960/Pages/PH-1960-10-039_04.aspx
http://elec.enc.sorbonne.fr/imprimeurs/node/23438,bibliographie et sources,http://ark.bnf.fr/ark:/12148/cb36054600v
http://elec.enc.sorbonne.fr/imprimeurs/node/24036,informations personnelles,http://gallica.bnf.fr/Search?ArianeWireIndex=index&amp;lang=FR&amp;q=mellinet%2C+camille&amp;x=0&amp;y=0&amp;p=1&amp;f_creator=mellinet%2C+camille+%281795-1843%29
